ativo;categoria;cliente_id;configuracoes;consultora_id;created_at;descricao;id;leads_gerados;perfil_publico_id;slug;tempo_estimado;titulo;total_questoes;total_respostas;updated_at
true;produtividade;;"{""coletarEmail"":false,""coletarNome"":true,""coletarTelefone"":true,""mensagemAgradecimento"":""Obrigado por responder nosso questionário! Entraremos em contato em breve."",""redirecionarAposResposta"":""""}";cad3eb84-a3ad-4f90-a9c4-c7f9ffdf87af;2025-10-19 14:51:56.367569+00;ok;ff862b13-6b7c-4547-88da-5bb807d46011;0;;teste-1760885515662;5;Teste;1;0;2025-10-29 10:34:56.669394+00
true;bem-estar;;"{""coletarEmail"":false,""coletarNome"":true,""coletarTelefone"":false,""mensagemAgradecimento"":""Obrigado por responder nosso questionário! Entraremos em contato em breve."",""redirecionarAposResposta"":""""}";2ff1af8b-4eda-4ec9-a825-f39777099d20;2025-10-25 13:48:55.048194+00;Teste;99acc0cd-b484-437a-a2f6-caa6d1646c12;0;;teste-1761400134125;5;Teste;4;0;2025-10-25 13:50:45.625695+00
true;bem-estar;;"{""coletarEmail"":false,""coletarNome"":true,""coletarTelefone"":true,""mensagemAgradecimento"":""Obrigado por responder nosso questionário! Entraremos em contato em breve."",""redirecionarAposResposta"":""""}";b990df2a-604e-41cd-a3b4-31844fc4035e;2025-10-28 18:50:15.942822+00;Observar o Bem-estar;e5b98de2-1ba8-410a-847f-5e587b84f0a9;1;;diagnostico-de-bem-estar-1761677409668;5;Diagnóstico de Bem-Estar;1;1;2025-10-28 18:51:07.641173+00
true;lideranca;;"{""coletarEmail"":true,""coletarNome"":true,""coletarTelefone"":true,""mensagemAgradecimento"":""Obrigado por responder nosso questionário! Entraremos em contato em breve."",""redirecionarAposResposta"":""""}";b990df2a-604e-41cd-a3b4-31844fc4035e;2025-10-29 13:36:42.674318+00;TESTE;90ede20b-1310-4ab4-b426-296a3be5782e;0;;teste-1761744997438;5;TESTE;4;0;2025-10-29 13:36:42.9932+00
true;Satisfação;811be139-9037-46b0-bddd-a62055f37438;"{""coletarEmail"":true,""coletarNome"":true,""coletarTelefone"":false,""mensagemAgradecimento"":""João das neves"",""redirecionarAposResposta"":""https://www.newgrounds.com/portal/view/579288""}";b990df2a-604e-41cd-a3b4-31844fc4035e;2025-11-10 12:44:31.267181+00;teste;ba957974-aa99-4e8f-9c99-0e476805971f;1;;teste-1762778670710;5;teste;5;1;2025-11-10 12:45:39.394824+00
true;Satisfação;07981e3f-fcd2-46f6-9ba4-866be6647059;"{""coletarEmail"":true,""coletarNome"":true,""coletarTelefone"":true,""mensagemAgradecimento"":""Obrigado por responder nosso questionário! Entraremos em contato em breve."",""redirecionarAposResposta"":""https://www.globo.com/""}";930c44b5-3b73-4770-a9af-ac72471c65cc;2025-12-01 18:12:11.407217+00;;78b3bb8c-3c68-4509-b82c-7cef1c7a240e;0;;diagnostico-de-bem-estar-social-1764612735625;5;Diagnóstico de Bem estar social;2;1;2025-12-08 23:57:32.247159+00
true;Satisfação;;"{""coletarEmail"":true,""coletarNome"":true,""coletarTelefone"":true,""mensagemAgradecimento"":""Obrigado por responder nosso questionário! Entraremos em contato em breve."",""redirecionarAposResposta"":""""}";cad3eb84-a3ad-4f90-a9c4-c7f9ffdf87af;2025-11-03 14:48:54.033988+00;asdasdsad;cfc23ba0-d389-42d5-9de3-fdce4660e9d7;0;;pesquisa-22-1762181333346;5;Pesquisa 22;1;0;2025-11-03 14:48:54.339947+00
true;Engajamento;;"{""coletarEmail"":true,""coletarNome"":true,""coletarTelefone"":true,""mensagemAgradecimento"":""Obrigado por responder nosso questionário! Entraremos em contato em breve."",""redirecionarAposResposta"":""""}";9f4a0435-873d-4310-9c12-5c48eadbc7e3;2026-01-31 02:14:36.475236+00;SDSVSDFV;b429e7dd-e53e-4d77-a616-3e173ae56239;4;;ddfvsdvsd-1769825675467;5;DDFVSDVSD;2;6;2026-01-31 02:42:44.697213+00
true;Satisfação;;"{""coletarEmail"":true,""coletarNome"":true,""coletarTelefone"":true,""mensagemAgradecimento"":""Obrigado por responder nosso questionário! Entraremos em contato em breve."",""redirecionarAposResposta"":""""}";f2a5b9f7-815e-487a-adf6-72ff0e4064dd;2026-02-10 22:28:13.822351+00;Agradecemos sua participação na palestra 'NR1 e o Novo Cenário de Risco'. Sua opinião é fundamental para continuarmos auxiliando empresários a blindarem suas empresas contra multas automáticas e passivos trabalhistas imediatos. Este breve formulário visa avaliar o impacto das informações compartilhadas sobre a Era da Fiscalização Digital e a segurança do seu negócio;26540b68-06bd-4e99-84e4-e257252a258b;8;;pesquisa-de-satisfacao-palestra-rotary-fernandopolis-1770762493849;5;Pesquisa de Satisfação Palestra Rotary Fernandópolis;7;1;2026-02-27 14:41:25.157786+00
true;Inscrição;;"{""coletarEmail"":true,""coletarNome"":true,""coletarTelefone"":true,""mensagemAgradecimento"":""Obrigado por responder nosso questionário! Entraremos em contato em breve."",""redirecionarAposResposta"":""""}";f2a5b9f7-815e-487a-adf6-72ff0e4064dd;2026-02-20 19:08:35.640578+00;Para entregarmos uma proposta que realmente faça sentido para o seu negócio, precisamos entender o seu cenário. Preencha os campos abaixo e nosso time técnico fará uma análise preliminar. Entraremos em contato em breve para alinharmos os detalhes.;774be206-ac28-4517-95d2-b499a81f3bc2;2;;solicitar-um-orcamento-1771614515384;3;Solicitar um Orçamento;7;3;2026-03-10 19:00:37.637138+00
true;Inscrição;;"{""coletarEmail"":true,""coletarNome"":true,""coletarTelefone"":true,""mensagemAgradecimento"":""Obrigado por responder nosso questionário! Entraremos em contato em breve."",""redirecionarAposResposta"":""sodreia.com.br""}";f2a5b9f7-815e-487a-adf6-72ff0e4064dd;2025-12-19 12:51:49.350097+00;;750f8b9c-63dc-4c4c-8fab-534980d4d61b;0;;captacao-de-leads-conheca-o-metodo-vida-1766148708287;5;Captação de Leads - Conheça o Método VIDA;7;0;2026-02-20 20:17:14.186949+00
true;Satisfação;f4927004-1222-4b0a-9cdb-7b9a8e691443;"{""coletarEmail"":true,""coletarNome"":true,""coletarTelefone"":true,""mensagemAgradecimento"":""Obrigado por responder nosso questionário! Entraremos em contato em breve."",""redirecionarAposResposta"":""""}";f2a5b9f7-815e-487a-adf6-72ff0e4064dd;2026-03-06 13:13:44.380553+00;"Sua opinião é muito importante pra mim. 

Esta breve pesquisa tem como objetivo avaliar a qualidade da palestra e compreender melhor sua experiência durante o encontro. Suas respostas ajudarão a aprimorar futuros conteúdos, tornando-os cada vez mais relevantes, úteis e alinhados às necessidades do público.

A pesquisa é rápida e leva menos de 2 minutos para ser respondida. 

Agradeço pela sua contribuição.";a281b510-fc73-4b1e-903c-b2942e9fa319;0;;pesquisa-de-satisfacao-palestra-1772802823780;3;Pesquisa de Satisfação Palestra;7;0;2026-03-06 13:20:06.213918+00